Date;total vaccin;1 dose vaccin;2 dose vaccin;Buster dose vaccin;Additional dose vaccin
02.03.2021  ;1983;1983;;;
03.03.2021  ;2680;2680;;;
04.03.2021  ;2913;2913;;;
05.03.2021  ;3277;3277;;;
06.03.2021  ;1279;1279;;;
07.03.2021  ;910;910;;;
08.03.2021  ;1171;1171;;;
09.03.2021  ;4362;4362;;;
10.03.2021  ;5898;5898;;;
11.03.2021  ;8859;8859;;;
12.03.2021  ;9304;9304;;;
13.03.2021  ;3596;3596;;;
14.03.2021  ;2018;2018;;;
15.03.2021  ;8928;8928;;;
16.03.2021  ;9840;9839;;;
17.03.2021  ;9832;9832;;;
18.03.2021  ;10959;10959;;;
19.03.2021  ;11628;11628;;;
20.03.2021  ;3968;3968;;;
21.03.2021  ;2715;2715;;;
22.03.2021  ;10904;10904;;;
23.03.2021  ;15097;15097;;;
24.03.2021  ;18561;18561;;;
25.03.2021  ;18738;18738;;;
26.03.2021  ;17939;17939;;;
27.03.2021  ;4616;4616;;;
28.03.2021  ;1585;1585;;;
29.03.2021  ;14433;14432;1;;
30.03.2021  ;18668;18668;;;
31.03.2021  ;17170;17170;;;
01.04.2021  ;19097;19097;;;
02.04.2021  ;18814;18814;;;
03.04.2021  ;3919;3919;;;
04.04.2021  ;1258;1258;;;
05.04.2021  ;12856;12856;;;
06.04.2021  ;15585;15585;;;
07.04.2021  ;14313;14313;;;
08.04.2021  ;18569;18566;3;;
09.04.2021  ;19858;19858;;;
10.04.2021  ;4048;4048;;;
11.04.2021  ;1216;1216;;;
12.04.2021  ;10135;10135;;;
13.04.2021  ;15152;15152;;;
14.04.2021  ;15744;15744;;;
15.04.2021  ;13529;13529;;;
16.04.2021  ;13035;13035;;;
17.04.2021  ;3333;3333;;;
18.04.2021  ;1453;1453;;;
19.04.2021  ;12144;12144;;;
20.04.2021  ;15042;15042;;;
21.04.2021  ;14044;14044;;;
22.04.2021  ;16169;16169;;;
23.04.2021  ;14339;14339;;;
24.04.2021  ;4531;4531;;;
25.04.2021  ;1114;1114;;;
26.04.2021  ;11100;11096;4;;
27.04.2021  ;19590;19590;;;
28.04.2021  ;70469;70468;1;;
29.04.2021  ;73376;73256;120;;
30.04.2021  ;49985;49855;130;;
01.05.2021  ;2661;2631;30;;
02.05.2021  ;177;177;;;
03.05.2021  ;919;919;;;
04.05.2021  ;3425;3412;13;;
05.05.2021  ;24494;24378;116;;
06.05.2021  ;37967;37958;9;;
07.05.2021  ;36046;36028;18;;
08.05.2021  ;4843;4843;;;
09.05.2021  ;1004;1004;;;
10.05.2021  ;2194;1945;249;;
11.05.2021  ;18264;17031;1233;;
12.05.2021  ;20386;18486;1900;;
